turn,causal_score_effect_pts,critic_value_delta
296,-84.375000,-1.045996
336,0.000000,-0.107698
376,-12.500000,-0.704881
264,6.250000,-1.095346
332,59.375000,-0.703116
288,-93.750000,-1.185150
366,56.250000,-0.265770
228,40.625000,-0.686969
377,-56.250000,-1.003122
321,21.875000,-0.873603
265,-18.750000,-0.914714
388,0.000000,-0.112303
383,-81.250000,-0.547868
280,-15.625000,-1.161316
336,-15.625000,-0.862887
357,62.500000,-0.430562
333,-84.375000,-0.911980
244,-12.500000,-0.815027
282,-37.500000,-0.672777
310,-93.750000,-1.148690
293,-50.000000,-0.753994
233,25.000000,-0.488712
348,-81.250000,-1.289080
351,31.250000,-0.638823
375,0.000000,-0.093342
335,-21.875000,-0.422206
396,34.375000,-0.396574
335,-21.875000,-0.721705
275,-50.000000,-0.899180
280,12.500000,-0.530142
341,-46.875000,-0.836131
378,0.000000,-0.675832
326,-12.500000,-0.796104
294,12.500000,-0.796110
239,18.750000,-0.791276
372,-6.250000,-0.726938
339,-100.000000,-1.536871
386,0.000000,-0.050275
325,75.000000,-0.307983
231,0.000000,-0.649741
271,6.250000,-0.858052
392,-25.000000,-0.126244
269,-25.000000,-0.507824
313,78.125000,-0.695680
342,-68.750000,-1.206998
260,-18.750000,-0.887338
330,0.000000,-0.022784
381,25.000000,-0.321332
239,-87.500000,-1.331426
387,34.375000,-0.214787
325,12.500000,-0.175262
265,50.000000,-0.640292
383,-21.875000,-0.821163
380,21.875000,-0.936806
313,46.875000,-0.350339
279,31.250000,-0.250951
321,-50.000000,-1.173852
277,37.500000,-0.232380
385,-56.250000,-0.677148
321,9.375000,-0.976793
386,-87.500000,-1.071744
349,9.375000,-0.299882
385,-12.500000,-0.499070
261,12.500000,-0.519053
325,18.750000,-0.246941
292,-68.750000,-1.452837
272,-43.750000,-0.745631
390,-37.500000,-0.615607
280,6.250000,-0.786033
378,-53.125000,-1.031989
292,-12.500000,-0.700598
231,37.500000,-0.670636
281,43.750000,-0.357088
386,0.000000,-0.405605
280,-9.375000,-0.776625
322,-12.500000,-0.156600
325,-37.500000,-0.984771
296,37.500000,-0.577491
396,-78.125000,-0.966188
327,-6.250000,-0.920643
383,6.250000,-0.365091
315,18.750000,-0.983244
382,0.000000,-0.849847
377,12.500000,-0.672672
336,34.375000,-0.542772
378,43.750000,-0.341426
234,6.250000,-0.750481
273,0.000000,-0.637193
