checkpoint,layer,head,adjacent4_mass,adjacent4_expected,adjacent4_enrichment,adjacent4_ci_low,adjacent4_ci_high,adjacent8_mass,adjacent8_expected,adjacent8_enrichment,adjacent8_ci_low,adjacent8_ci_high,top_spatial_key_adjacent4,top_spatial_key_adjacent8,mean_attended_manhattan_distance,self_mass,special_token_mass
initial,1,2,0.06644672900438309,0.06623812913317145,1.0031492415915348,1.0018596112349252,1.0044533093524255,0.12341662496328354,0.12300146976994518,1.0033752051427909,1.0021130476994262,1.004615655567676,0.08143642072213501,0.16375588697017268,4.666367166364897,0.019384246319532394,0.05307801067829132
initial,1,3,0.06429047882556915,0.06447364377755328,0.9971590724325108,0.9962670988513065,0.998073908397087,0.11942653357982635,0.1197257189079571,0.9975010772049676,0.9964514946475337,0.9985961939863132,0.06983418367346939,0.12902276295133439,4.66387485719786,0.018665751442313194,0.07851522415876389
initial,1,4,0.06534366309642792,0.0658462775850689,0.9923668503813045,0.9908940161290966,0.9937990266847304,0.121470607817173,0.12228229659678212,0.9933621725940787,0.9919493370529208,0.9946977084102463,0.06335851648351648,0.11626766091051806,4.67872992298845,0.01903964765369892,0.05906549096107483
initial,1,5,0.0655270665884018,0.06554081032221014,0.9997903026566077,0.9985914808680875,1.0009810818806313,0.12156263738870621,0.12170245565334772,0.9988511467259151,0.9978370901483025,0.9997954800225141,0.08771585557299844,0.15401785714285715,4.670227202652885,0.019113637506961823,0.06306518614292145
initial,1,6,0.0665072426199913,0.06639297449102231,1.0017210876579183,1.0009763981681548,1.0024701809500456,0.12388844043016434,0.123304056545682,1.0047393727412839,1.0035465711914417,1.005902203657942,0.08653846153846154,0.1547291993720565,4.656387443790549,0.019257405772805214,0.05130857601761818
initial,1,7,0.06485995650291443,0.06563773688747294,0.9881504082645032,0.9865647560803167,0.9897714051817741,0.12003999203443527,0.12192286668388706,0.9845568374443362,0.983106639073804,0.9860335638595478,0.06696428571428571,0.1075353218210361,4.696586689739947,0.01904142275452614,0.06243565306067467
initial,2,0,0.06644319742918015,0.06645844771733511,0.9997705289744379,0.9992422636556959,1.0002618176818374,0.12361515313386917,0.12341717611465891,1.0016041285779083,1.0010778340279467,1.0021452023925408,0.06360380690737834,0.1200206043956044,4.664360452189687,0.019292911514639854,0.05018843710422516
initial,2,1,0.06613767892122269,0.06624050148072434,0.99844773881231,0.9976304687401633,0.9992710901343822,0.12275172770023346,0.12302128627197817,0.9978088460955549,0.9966748861087125,0.9988875537250785,0.07052099686028257,0.1300039246467818,4.666255630891514,0.019244380295276642,0.05344726890325546
initial,2,2,0.0644913986325264,0.06475408261022685,0.9959433603703165,0.995252179648716,0.9967160913989269,0.11958380788564682,0.12026587613715245,0.9943286635127674,0.9935047242085155,0.9952022883706874,0.06625294348508634,0.11526197017268446,4.679285195031063,0.018844852223992348,0.07473298907279968
initial,2,3,0.06662910431623459,0.06667141365320488,0.9993654051316451,0.9987151298707764,1.0000225098847795,0.12335359305143356,0.12381884930059577,0.9962424440883577,0.9951447864925881,0.997369384519144,0.06495290423861852,0.11587519623233909,4.676173684996444,0.01953941397368908,0.047041554003953934
initial,2,4,0.06563592702150345,0.0656918389208857,0.9991488760202072,0.9985877662563378,0.9997273994369779,0.12204892933368683,0.12199742135572067,1.000422205464622,0.9996567336133719,1.00119033049919,0.07692307692307693,0.13760792778649922,4.66259221992984,0.019098415970802307,0.061186809092760086
initial,2,5,0.0660904124379158,0.06585688045911062,1.0035460528524454,1.0027663701756369,1.0043482367512575,0.12293160706758499,0.12231434425538305,1.0050465284015515,1.004334007611971,1.005781619700352,0.06605671114599686,0.12791895604395603,4.656925783145673,0.019320355728268623,0.05882163718342781
initial,2,6,0.06541517376899719,0.06536333516490739,1.0007930838284034,1.0001463272654796,1.001458437590575,0.12173154950141907,0.1213850890760091,1.0028542255729038,1.00185233146778,1.0038814540624719,0.06578689167974883,0.13844191522762953,4.659199961793801,0.01907365955412388,0.06576397269964218
initial,2,7,0.0661715716123581,0.06646372528862103,0.9956043138570062,0.9948972429507595,0.9963248226636124,0.1232491061091423,0.12344210061291817,0.9984365584932725,0.9977232660837224,0.9990950956101942,0.06414344583987441,0.12703591051805338,4.666848413964463,0.019254811108112335,0.05037052556872368
iteration_540,0,0,0.060701675713062286,0.06531577213961083,0.9293570867280566,0.9265238726698904,0.932132856654904,0.11254584044218063,0.12133733464372896,0.9275450196152574,0.9243937006365286,0.9306611588233498,0.06630200156985872,0.11695447409733124,4.8348433286723616,0.017244800925254822,0.06902330368757248
iteration_540,0,1,0.05117297172546387,0.055098810685038996,0.928749116164841,0.9243906781646996,0.9329529415901757,0.09547866880893707,0.10235214856531093,0.9328447926817297,0.927487221903918,0.9380667123198494,0.07047193877551021,0.13275117739403453,4.791669309746296,0.014935348182916641,0.21415863931179047
iteration_540,0,2,0.0575164370238781,0.05602950010495479,1.0265384648468747,1.0223560083378131,1.031035406283431,0.10584388673305511,0.10396815522571207,1.0180414041517893,1.012575521965753,1.0236359221080977,0.09370094191522763,0.17236558084772372,4.669257752307148,0.016537660732865334,0.1974768340587616
iteration_540,0,3,0.061125047504901886,0.05981252608996364,1.0219439221303592,1.0192800934493205,1.024606495264869,0.11362815648317337,0.11110666490811666,1.0226943323079847,1.020232621507591,1.0252003694275496,0.08749509419152277,0.15995388540031397,4.625684672412424,0.018054187297821045,0.14499840140342712
iteration_540,0,4,0.056308165192604065,0.04990614011396631,1.1282813109572891,1.124684957702889,1.1322020912959194,0.10363148897886276,0.09272943333901934,1.1175684488439117,1.1142943298975212,1.1209877236381334,0.1334625196232339,0.23800529827315542,4.512160594757575,0.01661580428481102,0.2853246331214905
iteration_540,0,5,0.0660107433795929,0.06363086528615068,1.0374013158981856,1.0334951061660709,1.0410516475637477,0.12348438054323196,0.11821838978018606,1.0445445989649955,1.041510190555578,1.0474070078123932,0.09262166405023547,0.1886528649921507,4.590237839046349,0.018877536058425903,0.09107501804828644
iteration_540,0,6,0.03898905962705612,0.039785185214997416,0.9799893959613594,0.9757996888525203,0.9839758231016291,0.07135090231895447,0.07379474250216199,0.9668832751447581,0.9640947845525007,0.9695116411328474,0.0641679748822606,0.10307103610675039,4.744150111626609,0.011574854142963886,0.43067753314971924
iteration_540,0,7,0.05388743430376053,0.05744906294065533,0.9380037122524706,0.9353080649948948,0.9406396004045098,0.10073217749595642,0.10670154324809111,0.9440554881361429,0.9411044635207515,0.9470813637295176,0.06836244113029827,0.1314756671899529,4.759551840499442,0.015817033126950264,0.17991851270198822
iteration_540,1,0,0.06435400992631912,0.06300873445889249,1.0213506187511876,1.0179333123381562,1.0245963987225148,0.11805108934640884,0.11703393124577587,1.0086911384570763,1.0059673669310847,1.0116771119855756,0.10027472527472528,0.15161401098901098,4.674251257144394,0.01915498822927475,0.09906373918056488
iteration_540,1,1,0.07299546897411346,0.06680251805422208,1.0927053515387655,1.0863244181820293,1.098633234946928,0.1332515925168991,0.12408634479832482,1.073861855899377,1.0687666686501862,1.0789497121404634,0.10755985086342229,0.18163755886970173,4.540979825572993,0.02191036567091942,0.04326063022017479
iteration_540,1,2,0.05715201422572136,0.05521676986151015,1.035048127028528,1.032590288266431,1.0375174881384404,0.10468888282775879,0.1024739160516174,1.0216149324773114,1.018451721851363,1.0247965134264172,0.10015208006279434,0.17977335164835165,4.660949590902181,0.01731184683740139,0.20871007442474365
iteration_540,1,3,0.06602248549461365,0.06635457530527189,0.9949952236280554,0.9917128313398056,0.998119121072818,0.12294435501098633,0.12321040596496065,0.9978406778884409,0.9939237664365946,1.0012721920735366,0.08533653846153846,0.15051020408163265,4.67284685390007,0.01918705739080906,0.05156950280070305
iteration_540,1,4,0.06905193626880646,0.06315951621754963,1.0932942556266692,1.0893141202834846,1.0975031754670823,0.1262170672416687,0.11729613281632317,1.0760548042902236,1.0725152020182775,1.0796631627717705,0.12186028257456828,0.20182496075353218,4.549097256092903,0.020758815109729767,0.09510166943073273
iteration_540,1,5,0.0605032704770565,0.06002118101091066,1.0080319890083171,1.0041450673482022,1.0117884673497406,0.11067542433738708,0.111414216414464,0.993368960435636,0.987994039203155,0.9986953207849234,0.08227040816326531,0.14602138932496075,4.711635228428099,0.01838369108736515,0.14047054946422577
iteration_540,1,6,0.06961774080991745,0.06800229399341848,1.023755769425298,1.021798283638786,1.025741046075566,0.12885162234306335,0.12633916865049216,1.0198865776893127,1.017747973158822,1.0219687774913289,0.08295722135007849,0.15546507064364207,4.653420815235234,0.02047666534781456,0.028221894055604935
iteration_540,1,7,0.06837807595729828,0.06279197848719471,1.0889619598663027,1.0831852241586395,1.094659453835808,0.12628930807113647,0.11657165579253166,1.0833620506849435,1.0758172851568193,1.0911292099256378,0.12029042386185243,0.2081289246467818,4.520394148191095,0.02004331536591053,0.10018035024404526
iteration_540,2,0,0.0645560473203659,0.06417646935652023,1.005914597167024,1.0036038629462263,1.0084377721023237,0.11953584849834442,0.11920064282489645,1.0028121129677159,1.0010056749750855,1.0047315422288239,0.07378335949764521,0.1404532967032967,4.66977918388158,0.018947847187519073,0.08278563618659973
iteration_540,2,1,0.0676361620426178,0.06690463425446845,1.0109338881573886,1.0088691837655168,1.0127824786008022,0.12416012585163116,0.1242691296761834,0.9991228406858865,0.9973397670922947,1.0009304059619024,0.07390600470957613,0.12718308477237047,4.685967998337765,0.020195331424474716,0.04343295097351074
iteration_540,2,2,0.059988003224134445,0.06156263337086804,0.9744223068359072,0.9717071389607648,0.9772545017517893,0.11096546053886414,0.11431999065736474,0.9706566620657391,0.9674893626270497,0.9740084997959731,0.056269623233908946,0.10029925431711147,4.731306422534628,0.017621440812945366,0.12028813362121582
iteration_540,2,3,0.06662377715110779,0.06608050696770863,1.008221338006148,1.005818751190071,1.0104904206037437,0.12353315949440002,0.12269012019463289,1.0068712892157066,1.0045627302195481,1.0091673685084979,0.07623626373626374,0.1333153453689168,4.654139305241485,0.019438592717051506,0.05491470545530319
