timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,sm_clock_mhz
2026/08/01 23:15:40.255, 0, 0, 61467, 81559, 116.54, 1980
2026/08/01 23:15:41.256, 0, 0, 61467, 81559, 116.40, 1980
2026/08/01 23:15:42.256, 0, 0, 61469, 81559, 116.44, 1980
2026/08/01 23:15:43.256, 0, 0, 61469, 81559, 116.42, 1980
2026/08/01 23:15:44.257, 0, 0, 61469, 81559, 116.42, 1980
2026/08/01 23:15:45.257, 0, 0, 61469, 81559, 116.51, 1980
2026/08/01 23:15:46.258, 0, 0, 61469, 81559, 116.38, 1980
2026/08/01 23:15:47.258, 0, 0, 61469, 81559, 116.42, 1980
2026/08/01 23:15:48.259, 0, 0, 61469, 81559, 116.46, 1980
2026/08/01 23:15:49.259, 0, 0, 61469, 81559, 116.37, 1980
2026/08/01 23:15:50.259, 0, 0, 61469, 81559, 116.37, 1980
2026/08/01 23:15:51.260, 0, 0, 61469, 81559, 116.39, 1980
2026/08/01 23:15:52.260, 0, 0, 61469, 81559, 116.47, 1980
2026/08/01 23:15:53.260, 0, 0, 61469, 81559, 116.40, 1980
2026/08/01 23:15:54.261, 0, 0, 61469, 81559, 116.47, 1980
2026/08/01 23:15:55.261, 0, 0, 61469, 81559, 116.49, 1980
2026/08/01 23:15:56.261, 0, 0, 61469, 81559, 116.46, 1980
2026/08/01 23:15:57.262, 0, 0, 61469, 81559, 116.43, 1980
2026/08/01 23:15:58.262, 0, 0, 61469, 81559, 116.43, 1980
2026/08/01 23:15:59.263, 0, 0, 61469, 81559, 116.44, 1980
2026/08/01 23:16:00.263, 0, 0, 61469, 81559, 116.39, 1980
2026/08/01 23:16:01.295, 0, 0, 61469, 81559, 116.41, 1980
2026/08/01 23:16:02.295, 0, 0, 61469, 81559, 116.68, 1980
2026/08/01 23:16:03.295, 4, 1, 61469, 81559, 121.31, 1980
2026/08/01 23:16:04.296, 43, 0, 61469, 81559, 143.74, 1980
2026/08/01 23:16:05.296, 25, 0, 61469, 81559, 136.37, 1980
2026/08/01 23:16:06.297, 13, 1, 61469, 81559, 144.67, 1980
2026/08/01 23:16:07.297, 9, 2, 61471, 81559, 180.46, 1980
2026/08/01 23:16:08.297, 0, 0, 61471, 81559, 223.02, 1980
2026/08/01 23:16:09.298, 0, 0, 61471, 81559, 120.64, 1980
2026/08/01 23:16:10.298, 0, 0, 61471, 81559, 116.60, 1980
2026/08/01 23:16:11.298, 0, 0, 61471, 81559, 116.56, 1980
2026/08/01 23:16:12.299, 100, 63, 61473, 81559, 251.40, 1980
2026/08/01 23:16:13.299, 100, 64, 61473, 81559, 560.02, 1980
2026/08/01 23:16:14.300, 100, 64, 61473, 81559, 566.79, 1980
2026/08/01 23:16:15.300, 100, 64, 61473, 81559, 570.29, 1980
2026/08/01 23:16:16.300, 100, 64, 61473, 81559, 559.53, 1980
2026/08/01 23:16:17.301, 59, 41, 61473, 81559, 486.87, 1980
2026/08/01 23:16:18.301, 0, 0, 61473, 81559, 118.78, 1980
2026/08/01 23:16:19.301, 0, 0, 61473, 81559, 118.13, 1980
2026/08/01 23:16:20.302, 0, 0, 61473, 81559, 117.87, 1980
2026/08/01 23:16:21.303, 0, 0, 61473, 81559, 117.57, 1980
2026/08/01 23:16:22.303, 0, 0, 61473, 81559, 117.24, 1980
2026/08/01 23:16:23.304, 0, 0, 61473, 81559, 117.19, 1980
2026/08/01 23:16:24.304, 0, 0, 61473, 81559, 117.13, 1980
2026/08/01 23:16:25.304, 0, 0, 61473, 81559, 117.08, 1980
2026/08/01 23:16:26.305, 0, 0, 61473, 81559, 117.06, 1980
2026/08/01 23:16:27.305, 0, 0, 61473, 81559, 117.03, 1980
2026/08/01 23:16:28.306, 0, 0, 61473, 81559, 116.99, 1980
