timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,sm_clock_mhz
2026/08/01 23:32:57.410, 100, 64, 61483, 81559, 592.58, 1980
2026/08/01 23:32:58.410, 100, 63, 61483, 81559, 580.65, 1980
2026/08/01 23:32:59.410, 100, 64, 61483, 81559, 580.65, 1980
2026/08/01 23:33:00.411, 100, 64, 61483, 81559, 582.66, 1980
2026/08/01 23:33:01.411, 100, 64, 61483, 81559, 582.44, 1980
2026/08/01 23:33:02.411, 100, 83, 61483, 81559, 590.59, 1980
2026/08/01 23:33:03.411, 100, 84, 61483, 81559, 645.49, 1980
2026/08/01 23:33:04.412, 100, 84, 61483, 81559, 648.64, 1980
2026/08/01 23:33:05.412, 100, 85, 61483, 81559, 631.57, 1980
2026/08/01 23:33:06.412, 100, 64, 61483, 81559, 582.11, 1980
2026/08/01 23:33:07.413, 100, 64, 61483, 81559, 584.38, 1980
2026/08/01 23:33:08.413, 100, 64, 61483, 81559, 585.81, 1980
2026/08/01 23:33:09.413, 100, 64, 61483, 81559, 579.41, 1980
2026/08/01 23:33:10.413, 100, 63, 61483, 81559, 577.10, 1980
2026/08/01 23:33:11.414, 100, 83, 61483, 81559, 624.36, 1980
2026/08/01 23:33:12.414, 100, 83, 61483, 81559, 644.57, 1980
2026/08/01 23:33:13.414, 100, 83, 61483, 81559, 645.15, 1980
2026/08/01 23:33:14.415, 0, 0, 61483, 81559, 431.98, 1980
2026/08/01 23:33:15.415, 4, 0, 61483, 81559, 126.64, 1980
2026/08/01 23:33:16.415, 0, 0, 61483, 81559, 125.44, 1980
2026/08/01 23:33:17.415, 0, 0, 61455, 81559, 126.38, 1980
2026/08/01 23:33:18.416, 100, 16, 0, 81559, 133.36, 1980
2026/08/01 23:33:19.416, 0, 0, 0, 81559, 128.20, 1980
2026/08/01 23:33:20.416, 0, 0, 0, 81559, 108.83, 390
2026/08/01 23:33:21.417, 0, 0, 0, 81559, 71.38, 345
2026/08/01 23:33:22.417, 0, 0, 0, 81559, 71.11, 345
2026/08/01 23:33:23.417, 0, 0, 0, 81559, 70.93, 345
2026/08/01 23:33:24.418, 0, 0, 0, 81559, 70.79, 345
2026/08/01 23:33:25.418, 0, 0, 0, 81559, 70.72, 345
2026/08/01 23:33:26.418, 0, 0, 0, 81559, 70.65, 345
2026/08/01 23:33:27.419, 0, 0, 0, 81559, 70.54, 345
