experiment,a,b,wins,losses,draws,games,score,score_ci95_low,score_ci95_high,paired_score_std,evaluation_seconds,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum
14k_19k_league,c14000_raw,c19000_ema,393.0,612.0,19.0,1024.0,0.39306640625,0.36471943537243934,0.42141337712756066,0.32725445442646095,53.5157545376569,541508.0,92601.0,155257.0,3958.0,1024.0,4092.0,77486.0,541508.0,889.0,1012.0,889.0,14115.0,512581.0,507274.0,24969.0,342494.0,3958.0,-168045.0,-37081.0,541508.0,93537.0,162798.0,4054.0,1024.0,3996.0,78893.0,541508.0,899.0,1015.0,899.0,16353.0,512161.0,506617.0,25293.0,339731.0,4054.0,168045.0,37081.0
14k_19k_league,c14000_ema,c15000_raw,510.0,502.0,12.0,1024.0,0.50390625,0.47488002669603946,0.5329324733039605,0.33509615233413037,53.51442918367684,587632.0,103907.0,193293.0,4256.0,1024.0,5142.0,80424.0,587632.0,917.0,1021.0,917.0,16899.0,558341.0,552701.0,25035.0,374010.0,4256.0,-10641.0,1250.0,587632.0,105563.0,185584.0,4513.0,1024.0,5482.0,79801.0,587632.0,916.0,1021.0,916.0,18254.0,557949.0,551988.0,25170.0,372585.0,4513.0,10641.0,-1250.0
14k_19k_league,c14000_ema,c15000_ema,484.0,522.0,18.0,1024.0,0.4814453125,0.45268370197888885,0.5102069230211111,0.3320413034665148,53.505764715373516,567447.0,98976.0,176555.0,4213.0,1024.0,4705.0,79706.0,567447.0,915.0,1018.0,915.0,17096.0,538152.0,532550.0,25082.0,359470.0,4212.0,-33364.0,-6320.0,567447.0,99301.0,181023.0,4188.0,1024.0,4885.0,79518.0,567447.0,918.0,1017.0,918.0,16765.0,538153.0,532579.0,25106.0,359334.0,4188.0,33364.0,6320.0
14k_19k_league,c14000_ema,c16000_raw,524.0,483.0,17.0,1024.0,0.52001953125,0.4905262443492158,0.5495128181507841,0.34048821497183435,53.52007676847279,560739.0,97261.0,186270.0,4162.0,1024.0,4545.0,79895.0,560739.0,900.0,1014.0,900.0,16745.0,531415.0,525857.0,25162.0,354259.0,4161.0,28157.0,6933.0,560739.0,94551.0,181254.0,4381.0,1024.0,6204.0,77721.0,560739.0,887.0,1017.0,887.0,17274.0,531210.0,525423.0,25148.0,358938.0,4381.0,-28157.0,-6933.0
14k_19k_league,c14000_ema,c16000_ema,465.0,544.0,15.0,1024.0,0.46142578125,0.43357616280521977,0.48927539969478023,0.32151271927774766,53.53600777871907,559189.0,96183.0,173459.0,4081.0,1024.0,4476.0,79389.0,559189.0,896.0,1015.0,896.0,16544.0,530045.0,524594.0,25063.0,354473.0,4081.0,-61578.0,-13510.0,559189.0,96824.0,176279.0,4156.0,1024.0,4812.0,78843.0,559189.0,901.0,1016.0,901.0,17525.0,529882.0,524333.0,25151.0,354215.0,4156.0,61578.0,13510.0
14k_19k_league,c14000_ema,c17000_raw,530.0,479.0,15.0,1024.0,0.52490234375,0.49565536929021214,0.5541493182097879,0.33764463624009383,53.53565759584308,556884.0,97047.0,169552.0,4190.0,1024.0,3885.0,79141.0,556884.0,891.0,1017.0,891.0,16139.0,527632.0,522051.0,25062.0,351444.0,4190.0,29945.0,7220.0,556884.0,96787.0,168087.0,4268.0,1024.0,4183.0,79485.0,556884.0,911.0,1017.0,911.0,22149.0,527599.0,521988.0,25017.0,351327.0,4268.0,-29945.0,-7220.0
14k_19k_league,c14000_ema,c17000_ema,451.0,560.0,13.0,1024.0,0.44677734375,0.4177208459482563,0.4758338415517437,0.33544565931665243,53.534648001194,565330.0,97713.0,173535.0,4186.0,1024.0,4207.0,79361.0,565330.0,896.0,1012.0,896.0,16519.0,536018.0,530418.0,25126.0,358944.0,4186.0,-75860.0,-17878.0,565330.0,98570.0,176321.0,4350.0,1024.0,4347.0,79024.0,565330.0,895.0,1013.0,895.0,17608.0,535902.0,530182.0,25078.0,358308.0,4350.0,75860.0,17878.0
14k_19k_league,c14000_ema,c18000_raw,522.0,481.0,21.0,1024.0,0.52001953125,0.4919258678226058,0.5481131946773942,0.3243301211082932,53.53114437311888,580801.0,100751.0,186449.0,4404.0,1024.0,6742.0,79972.0,580801.0,908.0,1019.0,908.0,17484.0,551349.0,545566.0,25048.0,370626.0,4404.0,-33737.0,5026.0,580801.0,101413.0,183875.0,4511.0,1024.0,6286.0,80459.0,580801.0,916.0,1018.0,916.0,15722.0,550874.0,544859.0,25416.0,369002.0,4511.0,33737.0,-5026.0
14k_19k_league,c14000_ema,c18000_ema,445.0,561.0,18.0,1024.0,0.443359375,0.4161601707069722,0.4705585792930278,0.31400394773025625,53.52518214099109,571636.0,99026.0,178807.0,4252.0,1024.0,5639.0,79267.0,571636.0,916.0,1019.0,916.0,16530.0,542314.0,536674.0,25070.0,364021.0,4252.0,-101408.0,-19555.0,571636.0,100637.0,180217.0,4372.0,1024.0,4913.0,80363.0,571636.0,929.0,1019.0,929.0,17620.0,542160.0,536404.0,25104.0,361160.0,4372.0,101408.0,19555.0
14k_19k_league,c14000_ema,c19000_raw,487.0,521.0,16.0,1024.0,0.4833984375,0.45437431044101745,0.5124225645589825,0.33507195202329004,53.53753490932286,590270.0,100781.0,194757.0,4450.0,1024.0,5336.0,80571.0,590270.0,933.0,1020.0,933.0,16887.0,560725.0,554870.0,25095.0,379373.0,4450.0,-79081.0,-7538.0,590270.0,101155.0,193273.0,4706.0,1024.0,4845.0,81567.0,590270.0,939.0,1019.0,939.0,21807.0,560214.0,553958.0,25350.0,377492.0,4706.0,79081.0,7538.0
14k_19k_league,c14000_ema,c19000_ema,448.0,556.0,20.0,1024.0,0.447265625,0.41888809554136675,0.47564315445863325,0.3276072410370712,53.53139211423695,560324.0,97249.0,171840.0,4230.0,1024.0,4765.0,79111.0,560324.0,897.0,1018.0,897.0,16763.0,531029.0,525413.0,25065.0,354669.0,4230.0,-108859.0,-18114.0,560324.0,98524.0,172264.0,4358.0,1024.0,4350.0,79746.0,560324.0,900.0,1017.0,900.0,17017.0,530796.0,525024.0,25170.0,352526.0,4358.0,108859.0,18114.0
